code,name,req,score,row
K74906,新疆农业大学第06组,化,471,K74906 | 新疆农业大学第06组 | 化 | 471 | 187 | 98 | 72 | 50 | 84 | 78 | 6
K75002,石河子大学第02组,个限,541,K75002 | 石河子大学第02组 | 个限 | 541 | 194 | 111 | 123 | 59 | 84 | 81 | 10
K75003,石河子大学第03组,化,543,K75003 | 石河子大学第03组 | 化 | 543 | 216 | 110 | 89 | 66 | 87 | 85 | 1
K75004,石河子大学第04组,化,570,K75004 | 石河子大学第04组 | 化 | 570 | 225 | 116 | 122 | 62 | 84 | 77 | 2
K75101,新疆医科大学第01组,不限,519,K75101 | 新疆医科大学第01组 | 不限 | 519 | 183 | 109 | 119 | 50 | 89 | 78 | 16
K75102,新疆医科大学第02组,化,458,K75102 | 新疆医科大学第02组 | 化 | 458 | 184 | 93 | 94 | 47 | 68 | 65 | 16
K75103,新疆医科大学第03组,化和生,483,K75103 | 新疆医科大学第03组 | 化和生 | 483 | 174 | 88 | 110 | 47 | 83 | 69 | 1
K75104,新疆医科大学第04组,化和生,474,K75104 | 新疆医科大学第04组 | 化和生 | 474 | 186 | 95 | 102 | 39 | 76 | 71 | 11 | 护理类
K75204,新疆师范大学第04组,不限,477,K75204 | 新疆师范大学第04组 | 不限 | 477 | 189 | 96 | 79 | 55 | 81 | 73 | 33
K75205,新疆师范大学第05组,化,478,K75205 | 新疆师范大学第05组 | 化 | 478 | 192 | 98 | 89 | 51 | 78 | 68 | 4
K75206,新疆师范大学第06组,政,482,K75206 | 新疆师范大学第06组 | 政 | 482 | 197 | 107 | 101 | 43 | 83 | 58 | 2
K75207,新疆师范大学第07组,地,513,K75207 | 新疆师范大学第07组 | 地 | 513 | 204 | 105 | 83 | 58 | 86 | 82 | 3
K75304,喀什大学第04组,不限,474,K75304 | 喀什大学第04组 | 不限 | 474 | 188 | 103 | 86 | 45 | 88 | 67 | 12
K75305,喀什大学第05组,不限,480,K75305 | 喀什大学第05组 | 不限 | 480 | 182 | 104 | 101 | 34 | 89 | 74 | 15
K75306,喀什大学第06组,化,474,K75306 | 喀什大学第06组 | 化 | 474 | 187 | 105 | 99 | 34 | 85 | 69 | 7
K75307,喀什大学第07组,生,482,K75307 | 喀什大学第07组 | 生 | 482 | 191 | 100 | 95 | 48 | 78 | 70 | 6 | 护理类
K75308,喀什大学第08组,政,473,K75308 | 喀什大学第08组 | 政 | 473 | 187 | 97 | 85 | 54 | 77 | 70 | 10
K75403,伊犁师范大学第03组,不限,475,K75403 | 伊犁师范大学第03组 | 不限 | 475 | 192 | 99 | 84 | 51 | 75 | 73
K75404,伊犁师范大学第04组,化,474,K75404 | 伊犁师范大学第04组 | 化 | 474 | 197 | 105 | 77 | 61 | 74 | 65 | 15
K75405,伊犁师范大学第05组,地,475,K75405 | 伊犁师范大学第05组 | 地 | 475 | 190 | 100 | 82 | 58 | 75 | 70 | 19
K75503,新疆财经大学第03组,不限,484,K75503 | 新疆财经大学第03组 | 不限 | 484 | 182 | 113 | 74 | 52 | 87 | 79 | 2
K75504,新疆财经大学第04组,化,487,K75504 | 新疆财经大学第04组 | 化 | 487 | 199 | 107 | 77 | 52 | 84 | 75 | 3
K75505,新疆财经大学第05组,政,500,K75505 | 新疆财经大学第05组 | 政 | 500 | 176 | 91 | 119 | 55 | 77 | 73
K75701,新疆工程学院第01组,化,473,K75701 | 新疆工程学院第01组 | 化 | 473 | 204 | 114 | 70 | 56 | 74 | 69 | 20
K75802,昌吉学院第02组,化,473,K75802 | 昌吉学院第02组 | 化 | 473 | 175 | 88 | 97 | 38 | 86 | 77 | 16
K77902,新疆理工学院第02组,不限,474,K77902 | 新疆理工学院第02组 | 不限 | 474 | 179 | 97 | 79 | 57 | 87 | 72 | 7
K77903,新疆理工学院第03组,不限,467,K77903 | 新疆理工学院第03组 | 不限 | 467 | 193 | 102 | 86 | 47 | 73 | 68 | 19
K77904,新疆理工学院第04组,化,472,K77904 | 新疆理工学院第04组 | 化 | 472 | 191 | 100 | 68 | 52 | 82 | 79 | 44
K78101,新疆第二医学院第01组,化,474,K78101 | 新疆第二医学院第01组 | 化 | 474 | 194 | 102 | 77 | 45 | 85 | 63 | 14
K78102,新疆第二医学院第02组,化和生,467,K78102 | 新疆第二医学院第02组 | 化和生 | 467 | 203 | 103 | 57 | 69 | 71 | 67 | 37
K78103,新疆第二医学院第03组,生和政,491,K78103 | 新疆第二医学院第03组 | 生和政 | 491 | 182 | 91 | 93 | 68 | 75 | 73 | 1
K78204,新疆科技学院第04组,不限,471,K78204 | 新疆科技学院第04组 | 不限 | 471 | 169 | 91 | 89 | 38 | 92 | 83 | 10
K78205,新疆科技学院第05组,不限,465,K78205 | 新疆科技学院第05组 | 不限 | 465 | 198 | 108 | 85 | 47 | 69 | 66 | 9
K78206,新疆科技学院第06组,化,408,K78206 | 新疆科技学院第06组 | 化 | 408 | 196 | 98 | 56 | 61 | 86 | 69 | 16
K78207,新疆科技学院第07组,生,475,K78207 | 新疆科技学院第07组 | 生 | 475 | 195 | 112 | 73 | 51 | 83 | 73 | 19 | 护理类
K78303,新疆政法学院第03组,不限,489,K78303 | 新疆政法学院第03组 | 不限 | 489 | 206 | 119 | 74 | 68 | 74 | 67
