page,code,name,req,score,语数之和,语数最高,外语,物理,再选最高,再选次高,志愿号,备注,row
39,H12004,高安徽农业大学第04组,化,546,203,106,125,59,80,79,3,,H12004 | 高安徽农业大学第04组 | 化 | 546 | 203 | 106 | 125 | 59 | 80 | 79 | 3
39,H12005,【安徽农业大学第05组,化或生,523,200,112,105,63,81,74,4,,H12005 | 【安徽农业大学第05组 | 化或生 | 523 | 200 | 112 | 105 | 63 | 81 | 74 | 4
39,H12101,省号安徽医科大学第01组,化和生,614,235,124,117,86,89,87,2,,H12101 | 省号安徽医科大学第01组 | 化和生 | 614 | 235 | 124 | 117 | 86 | 89 | 87 | 2
39,H12202,北蚌埠医学院第02组,化,525,209,117,112,55,80,69,2,,H12202 | 北蚌埠医学院第02组 | 化 | 525 | 209 | 117 | 112 | 55 | 80 | 69 | 2
39,H12203,众蚌埠医学院第03组,化或生,577,220,121,100,92,84,81,2,,H12203 | 众蚌埠医学院第03组 | 化或生 | 577 | 220 | 121 | 100 | 92 | 84 | 81 | 2
39,H12403,湖公安徽中医药大学第03组,不限,516,207,106,68,62,88,81,1,,H12403 | 湖公安徽中医药大学第03组 | 不限 | 516 | 207 | 106 | 68 | 62 | 88 | 81 | 1
39,H12404,安徽中医药大学第04组,化,521,210,107,74,59,88,80,1,,H12404 | 安徽中医药大学第04组 | 化 | 521 | 210 | 107 | 74 | 59 | 88 | 80 | 1
39,H12405,信安徽中医药大学第05组,化或生,529,216,119,97,49,89,78,2,,H12405 | 信安徽中医药大学第05组 | 化或生 | 529 | 216 | 119 | 97 | 49 | 89 | 78 | 2
39,H12503,安徽师范大学第03组,不限,561,227,122,105,67,89,63,13,,H12503 | 安徽师范大学第03组 | 不限 | 561 | 227 | 122 | 105 | 67 | 89 | 63 | 13
39,H12504,微安徽师范大学第04组,不限,556,218,114,101,72,90,75,3,,H12504 | 微安徽师范大学第04组 | 不限 | 556 | 218 | 114 | 101 | 72 | 90 | 75 | 3
39,H12505,安徽师范大学第05组,化或生,560,212,110,131,76,74,67,2,,H12505 | 安徽师范大学第05组 | 化或生 | 560 | 212 | 110 | 131 | 76 | 74 | 67 | 2
39,H12506,安徽师范大学第06组,化或地,564,219,118,132,54,83,76,3,,H12506 | 安徽师范大学第06组 | 化或地 | 564 | 219 | 118 | 132 | 54 | 83 | 76 | 3
39,H12805,淮北师范大学第05组,不限,521,202,104,98,56,86,69,6,,H12805 | 淮北师范大学第05组 | 不限 | 521 | 202 | 104 | 98 | 56 | 86 | 69 | 6
