志愿序号,草案梯度,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,是否建议填入6专业,专业选择顺位,专业角色判断,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,第19期页码,版面列,专业行ID,专业组出现ID
4,冲刺待补历史,F117,安徽工业大学,F11702,1,05,治金工程（办学地点：佳山校区）,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-808535c1c4be4fae,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,2,06,材料科学与工程（办学地点：秀山校,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-206f7ae5f468e47c,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,3,07,测控技术与仪器（办学地点：佳山校,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-8c1b03694cf4f04b,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,4,08,车辆工程（办学地点：佳山校区）,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-7d8d87ad79aeffd1,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,7,12,给排水科学与工程（办学地点：秀山校,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-b5b923c242dab445,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,8,13,焊接技术与工程（办学地点：秀山校区）,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-b9c4a2b50a089ac2,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,9,14,化学工程与工艺（办学地点：佳山校,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-886677663c056a65,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,14,19,建筑环境与能源应用工程（办学地点：秀山校区）,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,3,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,144,left,M-1ee7d230291518f5,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,15,20,金属材料工程（办学地点：秀山校区）,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,144,left,M-9d208329840691da,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,16,21,熊源与动力工程（办学地点：佳山校,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,144,left,M-4f90eafc82d5543f,G-c5ce24d41d1f9e63
